"","Date","Tree.ID","VWC_mean","Time","Table","Row","Sensortype","Treatment","Tree.Species","Remarks","Date2","Type","REW"
"103",2023-06-27,"D18",NA,NA,NA,NA,NA,"W","Douglas Fir",NA,NA,NA,NA
"104",2023-06-27,"D19",37.8,"16:31",2,"R5","C","D","Douglas Fir","","27.06.","Measure",0.662707602360712
"105",2023-06-27,"D21",NA,NA,NA,NA,NA,"D","Douglas Fir",NA,NA,NA,NA
"106",2023-06-27,"D25",44.05,"15:47",2,"R6","C","W","Douglas Fir","","27.06.","Measure",0.77228227206321
"107",2023-06-27,"D28",39.5,"16:00",2,"R6","B","W","Douglas Fir","","27.06.","Measure",0.692511912519791
"108",2023-06-27,"D3",38.5166666666667,NA,NA,NA,NA,"W","Douglas Fir",NA,NA,NA,0.675272164486598
"109",2023-06-27,"D31",NA,NA,NA,NA,NA,"D","Douglas Fir",NA,NA,NA,NA
"110",2023-06-27,"D33",39.7,"18:11",2,"R8","D","D","Douglas Fir","","27.06.","Measure",0.696018301950271
"111",2023-06-27,"D35",30.9333333333333,"18:17",2,"R8","B","D","Douglas Fir","","27.06.","Measure",0.542321565247567
"112",2023-06-27,"D39",NA,NA,NA,NA,NA,"W","Douglas Fir",NA,NA,NA,NA
"113",2023-06-27,"D4",40.7833333333333,NA,NA,NA,NA,"W","Douglas Fir",NA,NA,NA,0.715011244698704
"114",2023-06-27,"D40",37.6333333333333,"17:18",2,"R7","B","D","Douglas Fir","","27.06.","Measure",0.659785611168645
"115",2023-06-27,"D41",39.4,NA,NA,NA,NA,"D","Douglas Fir",NA,NA,NA,0.690758717804551
"116",2023-06-27,"D42",35.7,"16:15",2,"R5","B","W","Douglas Fir","","27.06.","Measure",0.625890513340672
"117",2023-06-27,"D43",41.1833333333333,NA,NA,NA,NA,"D","Douglas Fir",NA,NA,NA,0.722024023559664
"118",2023-06-27,"D45",41.65,"15:38",2,"R6","D","W","Douglas Fir","","27.06.","Measure",0.730205598897451
"119",2023-06-27,"D7",NA,NA,NA,NA,NA,"D","Douglas Fir",NA,NA,NA,NA
"120",2023-06-27,"D9",41.7333333333333,NA,NA,NA,NA,"W","Douglas Fir",NA,NA,NA,0.731666594493484
"121",2023-06-27,"E1",31.1666666666667,NA,NA,NA,NA,"D","Pedunculate Oak",NA,NA,NA,0.54641235291646
"122",2023-06-27,"E12",34.0333333333333,NA,NA,NA,NA,"D","Pedunculate Oak",NA,NA,NA,0.596670601420006
"123",2023-06-27,"E13",NA,"17:01",2,"R6","B","W","Pedunculate Oak","","27.06.","Measure",NA
"124",2023-06-27,"E14",32,"17:33",2,"R7","C","D","Pedunculate Oak","","27.06.","Measure",0.561022308876793
"125",2023-06-27,"E15",31.7,"18:09",2,"R8","A","W","Pedunculate Oak","","27.06.","Measure",0.555762724731073
"126",2023-06-27,"E19",36.95,"16:28",2,"R5","Not indicated","D","Pedunculate Oak","","27.06.","Measure",0.647805447281172
"127",2023-06-27,"E20",36.2666666666667,"18:03",2,"R8","B","D","Pedunculate Oak","","27.06.","Measure",0.635825283393699
"128",2023-06-27,"E22",43.7166666666667,NA,NA,NA,NA,"W","Pedunculate Oak",NA,NA,NA,0.766438289679077
"129",2023-06-27,"E25",38.1,"16:22",2,"R5","C","D","Pedunculate Oak","","27.06.","Measure",0.667967186506432
"130",2023-06-27,"E29",45.0416666666667,NA,NA,NA,NA,"D","Pedunculate Oak",NA,NA,NA,0.789668119656007
"131",2023-06-27,"E3",34.1666666666667,"16:41",2,"R5","C","W","Pedunculate Oak","","27.06.","Measure",0.599008194373659
"132",2023-06-27,"E30",34.2166666666667,NA,NA,NA,NA,"W","Pedunculate Oak",NA,NA,NA,0.599884791731279
"133",2023-06-27,"E34",37.25,NA,NA,NA,NA,"W","Pedunculate Oak",NA,NA,NA,0.653065031426892
"134",2023-06-27,"E35",37.6166666666667,NA,NA,NA,NA,"D","Pedunculate Oak",NA,NA,NA,0.659493412049438
"135",2023-06-27,"E37",38,"17:39",2,"R7","B","W","Pedunculate Oak","sehr geringes Signal","27.06.","Measure",0.666213991791192
"136",2023-06-27,"E40",39.2166666666667,NA,NA,NA,NA,"D","Pedunculate Oak",NA,NA,NA,0.687544527493278
"137",2023-06-27,"E45",23.7,"15:58",2,"R6","B","D","Pedunculate Oak","","27.06.","Measure",0.415507147511875
"138",2023-06-27,"E5",37.5333333333333,NA,NA,NA,NA,"W","Pedunculate Oak",NA,NA,NA,0.658032416453405
"139",2023-06-27,"E51",17.1666666666667,"17:24",2,"R7","B","W","Pedunculate Oak","","27.06.","Measure",0.300965092782863
"140",2023-06-27,"E6",27.5,NA,NA,NA,NA,"W","Pedunculate Oak",NA,NA,NA,0.482128546690994
"141",2023-06-27,"T1",34.1666666666667,"18:04",2,"R8","B","W","White Fir","","27.06.","Measure",0.599008194373659
"142",2023-06-27,"T10",NA,NA,NA,NA,NA,"W","White Fir",NA,NA,NA,NA
"143",2023-06-27,"T11",42.7,NA,NA,NA,NA,"W","White Fir",NA,NA,NA,0.748614143407471
"144",2023-06-27,"T14",40.2083333333333,NA,NA,NA,NA,"W","White Fir",NA,NA,NA,0.704930375086074
"145",2023-06-27,"T2",41.3666666666667,NA,NA,NA,NA,"W","White Fir",NA,NA,NA,0.725238213870938
"146",2023-06-27,"T21",41.6666666666667,"15:23",2,"R6","C","D","White Fir","sehr geringes Signal","27.06.","Measure",0.730497798016657
"147",2023-06-27,"T25",39.5666666666667,"16:36",2,"R5","B","W","White Fir","","27.06.","Measure",0.693680708996618
"148",2023-06-27,"T28",42.0833333333333,NA,NA,NA,NA,"D","White Fir",NA,NA,NA,0.737802775996824
"149",2023-06-27,"T29",40.8,"16:08",2,"R5","C","W","White Fir","","27.06.","Measure",0.715303443817911
"150",2023-06-27,"T3",47.7333333333333,NA,NA,NA,NA,"W","White Fir",NA,NA,NA,0.836858277407883
"151",2023-06-27,"T31",45.1666666666667,NA,NA,NA,NA,"D","White Fir",NA,NA,NA,0.791859613050057
"152",2023-06-27,"T33",39.15,"16:34",2,"R5","C","W","White Fir","","27.06.","Measure",0.686375731016451
"153",2023-06-27,"T4",39.9,NA,NA,NA,NA,"D","White Fir",NA,NA,NA,0.699524691380751
"154",2023-06-27,"T42",40.3,"17:44",2,"R7","A","D","White Fir","","27.06.","Measure",0.706537470241711
"155",2023-06-27,"T43",45.4666666666667,NA,NA,NA,NA,"D","White Fir",NA,NA,NA,0.797119197195777
"156",2023-06-27,"T44",NA,"17:37",2,"R7","B","D","White Fir","","27.06.","Measure",NA
"157",2023-06-27,"T45",39.45,"16:12",2,"R5","B","D","White Fir","","27.06.","Measure",0.691635315162171
"158",2023-06-27,"T5",40.5333333333333,NA,NA,NA,NA,"D","White Fir",NA,NA,NA,0.710628257910604
"159",2023-06-27,"T6",36.9333333333333,"17:58",2,"R8","C","D","White Fir","","27.06.","Measure",0.647513248161965
"160",2023-06-27,"T9",41,"15:53",2,"R6","B","W","White Fir","","27.06.","Measure",0.718809833248391
"161",2023-06-28,"B1",36.6571428571429,NA,NA,NA,NA,"D","European Beech",NA,NA,NA,0.642671091329398
"162",2023-06-28,"B13",38.7333333333333,"10:50",1,"R2","B","W","European Beech","","28.06.","Measure",0.679070753036285
"163",2023-06-28,"B15",43.6,"10:34",1,"R1","B","D","European Beech","","28.06.","Measure",0.76439289584463
"164",2023-06-28,"B17",41.65,"10:58",1,"R2","B","W","European Beech","","28.06.","Measure",0.730205598897451
"165",2023-06-28,"B2",44.2,"11:34",1,"R3","B","W","European Beech","sehr geringes Signal","28.06.","Measure",0.77491206413607
"166",2023-06-28,"B23",41.7380952380952,NA,NA,NA,NA,"W","European Beech",NA,NA,NA,0.731750079956115
"167",2023-06-28,"B24",36,"11:41",1,"R3","B","D","European Beech","","28.06.","Measure",0.631150097486392
"168",2023-06-28,"B26",NA,NA,NA,NA,NA,"D","European Beech",NA,NA,NA,NA
"169",2023-06-28,"B27",40.2,"10:27",1,"R1","C","D","European Beech","","28.06.","Measure",0.704784275526471
"170",2023-06-28,"B3",36.6333333333333,"11:57",1,"R4","B","W","European Beech","","28.06.","Measure",0.642253664016245
"171",2023-06-28,"B30",38.0857142857143,NA,NA,NA,NA,"W","European Beech",NA,NA,NA,0.66771673011854
"172",2023-06-28,"B31",37.2142857142857,NA,NA,NA,NA,"W","European Beech",NA,NA,NA,0.652438890457163
"173",2023-06-28,"B34",41.8952380952381,NA,NA,NA,NA,"W","European Beech",NA,NA,NA,0.73450510022292
"174",2023-06-28,"B35",40,"12:03",1,"R4","B","D","European Beech","","28.06.","Measure",0.701277886095991
"175",2023-06-28,"B37",36.8095238095238,NA,NA,NA,NA,"D","European Beech",NA,NA,NA,0.645342626133573
"176",2023-06-28,"B38",NA,NA,NA,NA,NA,"D","European Beech",NA,NA,NA,NA
"177",2023-06-28,"B4",38.4666666666667,"10:30",1,"R1","B","D","European Beech","","28.06.","Measure",0.674395567128978
"178",2023-06-28,"B40",35.7809523809524,NA,NA,NA,NA,"D","European Beech",NA,NA,NA,0.62730976620539
"179",2023-06-28,"B43",36.7333333333333,NA,NA,NA,NA,"W","European Beech",NA,NA,NA,0.644006858731485
"180",2023-06-28,"B44",40.5,"10:39",1,"R1","A","W","European Beech","","28.06.","Measure",0.710043859672191
"181",2023-06-28,"D10",38.6380952380952,NA,NA,NA,NA,"D","Douglas Fir",NA,NA,NA,0.677401043783675
"182",2023-06-28,"D15",31.1476190476191,NA,NA,NA,NA,"W","Douglas Fir",NA,NA,NA,0.546078411065938
"183",2023-06-28,"D18",40.2666666666667,"11:02",1,"R2","C","W","Douglas Fir","","28.06.","Measure",0.705953072003298
"184",2023-06-28,"D19",36.1380952380952,NA,NA,NA,NA,"D","Douglas Fir",NA,NA,NA,0.633571175902676
"185",2023-06-28,"D21",37.1666666666667,"10:32",1,"R1","B","D","Douglas Fir","","28.06.","Measure",0.651604035830858
"186",2023-06-28,"D25",43.252380952381,NA,NA,NA,NA,"W","Douglas Fir",NA,NA,NA,0.758298457072606
"187",2023-06-28,"D28",38.7,NA,NA,NA,NA,"W","Douglas Fir",NA,NA,NA,0.678486354797872
"188",2023-06-28,"D3",36.3333333333333,"12:09",1,"R4","C","W","Douglas Fir","","28.06.","Measure",0.636994079870525
"189",2023-06-28,"D31",45.2,"11:37",1,"R3","C","D","Douglas Fir","","28.06.","Measure",0.79244401128847
"190",2023-06-28,"D33",38.2619047619048,NA,NA,NA,NA,"D","Douglas Fir",NA,NA,NA,0.670805692235868
"191",2023-06-28,"D35",29.3619047619048,NA,NA,NA,NA,"D","Douglas Fir",NA,NA,NA,0.51477136257951
"192",2023-06-28,"D39",34.7333333333333,"10:53",1,"R2","B","W","Douglas Fir","","28.06.","Measure",0.608942964426686
"193",2023-06-28,"D4",39.2,"11:25",1,"R3","C","W","Douglas Fir","","28.06.","Measure",0.687252328374071
"194",2023-06-28,"D40",34.9809523809524,NA,NA,NA,NA,"D","Douglas Fir",NA,NA,NA,0.61328420848347
"195",2023-06-28,"D41",37.2333333333333,"10:43",1,"R2","D","D","Douglas Fir","","28.06.","Measure",0.652772832307685
"196",2023-06-28,"D42",34.3285714285714,NA,NA,NA,NA,"W","Douglas Fir",NA,NA,NA,0.601846700103095
"197",2023-06-28,"D43",39.5,"10:38",1,"R1","C","D","Douglas Fir","","28.06.","Measure",0.692511912519791
"198",2023-06-28,"D45",39.9380952380952,NA,NA,NA,NA,"W","Douglas Fir",NA,NA,NA,0.700192575081795
"199",2023-06-28,"D7",39,"10:47",1,"R2","A","D","Douglas Fir","","28.06.","Measure",0.683745938943591
"200",2023-06-28,"D9",40,"11:21",1,"R3","D","W","Douglas Fir","","28.06.","Measure",0.701277886095991
"201",2023-06-28,"E1",19.3666666666667,"10:52",1,"R2","C","D","Pedunculate Oak","","28.06.","Measure",0.339535376518142
"202",2023-06-28,"E12",31.5,"11:23",1,"R3","B","D","Pedunculate Oak","","28.06.","Measure",0.552256335300593
"203",2023-06-28,"E13",NA,NA,NA,NA,NA,"W","Pedunculate Oak",NA,NA,NA,NA
"204",2023-06-28,"E14",30.2761904761905,NA,NA,NA,NA,"D","Pedunculate Oak",NA,NA,NA,0.530800571404561
"205",2023-06-28,"E15",29.7714285714286,NA,NA,NA,NA,"W","Pedunculate Oak",NA,NA,NA,0.521951112365731
"206",2023-06-28,"E19",34.4047619047619,NA,NA,NA,NA,"D","Pedunculate Oak",NA,NA,NA,0.603182467505183
"207",2023-06-28,"E20",34.6380952380952,NA,NA,NA,NA,"D","Pedunculate Oak",NA,NA,NA,0.607273255174076
"208",2023-06-28,"E22",41.9666666666667,"10:33",1,"R1","B","W","Pedunculate Oak","","28.06.","Measure",0.735757382162378
"209",2023-06-28,"E25",36.1142857142857,NA,NA,NA,NA,"D","Pedunculate Oak",NA,NA,NA,0.633153748589523
"210",2023-06-28,"E29",34.4333333333333,"12:12",1,"R4","C","D","Pedunculate Oak","","28.06.","Measure",0.603683380280966
"211",2023-06-28,"E3",31.6761904761905,NA,NA,NA,NA,"W","Pedunculate Oak",NA,NA,NA,0.555345297417921
"212",2023-06-28,"E30",30,"11:39",1,"R3","B","W","Pedunculate Oak","","28.06.","Measure",0.525958414571993
"213",2023-06-28,"E34",36.0666666666667,"10:46",1,"R2","D","W","Pedunculate Oak","","28.06.","Measure",0.632318893963219
"214",2023-06-28,"E35",36,"11:20",1,"R3","B","D","Pedunculate Oak","","28.06.","Measure",0.631150097486392
"215",2023-06-28,"E37",36.0761904761905,NA,NA,NA,NA,"W","Pedunculate Oak",NA,NA,NA,0.63248586488848
"216",2023-06-28,"E40",37.0333333333333,"12:07",1,"R4","B","D","Pedunculate Oak","","28.06.","Measure",0.649266442877205
"217",2023-06-28,"E45",22.1761904761905,NA,NA,NA,NA,"D","Pedunculate Oak",NA,NA,NA,0.388791799470123
"218",2023-06-28,"E5",34.2,"11:42",1,"R3","B","W","Pedunculate Oak","sehr geringes Signal","28.06.","Measure",0.599592592612073
"219",2023-06-28,"E51",16.5333333333333,NA,NA,NA,NA,"W","Pedunculate Oak",NA,NA,NA,0.28986152625301
"220",2023-06-28,"E6",27.1,"12:02",1,"R4","B","W","Pedunculate Oak","sehr geringes Signal","28.06.","Measure",0.475115767830034
"221",2023-06-28,"T1",33.7190476190476,NA,NA,NA,NA,"W","White Fir",NA,NA,NA,0.591160560886395
"222",2023-06-28,"T10",37.8666666666667,"12:14",1,"R4","Not indicated","W","White Fir","sehr geringes Signal","28.06.","Measure",0.663876398837538
"223",2023-06-28,"T11",41.5,"10:37",1,"R1","C","W","White Fir","","28.06.","Measure",0.727575806824591
"224",2023-06-28,"T14",38.7666666666667,"10:28",1,"R1","A","W","White Fir","sehr geringes Signal","28.06.","Measure",0.679655151274698
"225",2023-06-28,"T2",39.6333333333333,"12:04",1,"R4","B","W","White Fir","","28.06.","Measure",0.694849505473445
"226",2023-06-28,"T21",40.6571428571429,NA,NA,NA,NA,"D","White Fir",NA,NA,NA,0.712798879938997
"227",2023-06-28,"T25",39.0380952380952,NA,NA,NA,NA,"W","White Fir",NA,NA,NA,0.684413822644635
"228",2023-06-28,"T28",41.0666666666667,"11:27",1,"R3","B","D","White Fir","","28.06.","Measure",0.719978629725218
"229",2023-06-28,"T29",39.8523809523809,NA,NA,NA,NA,"W","White Fir",NA,NA,NA,0.698689836754446
"230",2023-06-28,"T3",46.3333333333333,"10:31",1,"R1","A","W","White Fir","","28.06.","Measure",0.812313551394523
"231",2023-06-28,"T31",44.1333333333333,"11:55",1,"R4","B","D","White Fir","sehr geringes Signal","28.06.","Measure",0.773743267659244
"232",2023-06-28,"T33",38.6190476190476,NA,NA,NA,NA,"W","White Fir",NA,NA,NA,0.677067101933153
"233",2023-06-28,"T4",38.8,"11:00",1,"R2","B","D","White Fir","","28.06.","Measure",0.680239549513112
"234",2023-06-28,"T42",39.4,NA,NA,NA,NA,"D","White Fir",NA,NA,NA,0.690758717804551
"235",2023-06-28,"T43",44.2333333333333,"12:01",1,"R4","A","D","White Fir","","28.06.","Measure",0.775496462374484
"236",2023-06-28,"T44",NA,NA,NA,NA,NA,"D","White Fir",NA,NA,NA,NA
